-0.152476,-0.159243,-0.169845,-0.183788,-0.198056,-0.219652,-0.247486,-0.247486
-0.111140,-0.117416,-0.126839,-0.139009,-0.154160,-0.175909,-0.203274,-0.203274
-0.083614,-0.086106,-0.091754,-0.100179,-0.115171,-0.136075,-0.162006,-0.162006
-0.066397,-0.062642,-0.062580,-0.065793,-0.079030,-0.097642,-0.120818,-0.120818
-0.056967,-0.046786,-0.040891,-0.038821,-0.048963,-0.064190,-0.083744,-0.083744
-0.056044,-0.039305,-0.027506,-0.020138,-0.025692,-0.036320,-0.051291,-0.051291
-0.064304,-0.040917,-0.023189,-0.010558,-0.009911,-0.014628,-0.023970,-0.023970
-0.075047,-0.048354,-0.027489,-0.011907,-0.006034,-0.005663,-0.010080,-0.010080
-0.082214,-0.055530,-0.034275,-0.017981,-0.009092,-0.005480,-0.006508,-0.006508
-0.091002,-0.064249,-0.042559,-0.025539,-0.013608,-0.006758,-0.004418,-0.004418
-0.101420,-0.074533,-0.052379,-0.034631,-0.019644,-0.009570,-0.003900,-0.003900
-0.113478,-0.086405,-0.063771,-0.045305,-0.027262,-0.013996,-0.005049,-0.005049
-0.140230,-0.113185,-0.090203,-0.071061,-0.050475,-0.034595,-0.023004,-0.023004
