elevation azimuth channel
  0   0  0
 79   3  1
 79   3  1
 82   6  3
 82   6  3
 82   6  3
 82   6  3
 82   6  3
 90 190  8
 90 190  8
 90 189 10
 90 189 10
 90 190 12
 90 190 12
 90 190 12
 88 191 15
 88 191 15
 86 190 17
 86 190 17
 86 190 17
 86 190 17
 86 190 17
 86 190 17
 86 190 17
 83 189 24
 83 189 24
 84 187 26
 84 187 26
 84 187 26
 84 187 26
 84 187 26
 89 187 31
 89 187 31
 89 187 31
 89 187 31
 89 187 31
 89 187 31
