elevation azimuth channel
  0   0  0
 79   3  1
 79   3  2
 82   6  3
 82   6  4
 82   6  5
 82   6  6
 82   6  7
 90 190  8
 90 190  9
 90 189 10
 90 189 11
 90 190 12
 90 190 13
 90 190 14
 88 191 15
 88 191 16
 86 190 17
 86 190 18
 86 190 19
 86 190 20
 86 190 21
 86 190 22
 86 190 23
 83 189 24
 83 189 25
 84 187 26
 84 187 27
 84 187 28
 84 187 29
 84 187 30
 89 187 31
 89 187 32
 89 187 33
 89 187 34
 89 187 35
 89 187 36
